time[s],系统电流,系统电压,滑油压力,排气温度,Ng,Np
0.0,9.273629307002249,13854.270277779297,50.0,194.2126437541336,0.0,0.0
0.01,11.593374038380414,13966.809969206623,50.500333555703804,193.36830864595834,1.667778519012675,1.667778519012675
0.02,8.144867239598717,14918.752727191108,51.00066711140761,194.41274501737777,3.33555703802535,3.33555703802535
0.03,9.68519023657939,14056.513870889508,51.501000667111406,215.4340092997525,5.003335557038025,5.003335557038025
0.04,7.494150170492172,14501.222300862199,52.00133422281521,213.4518450945391,6.6711140760507,6.6711140760507
0.05,8.894582204236858,13587.071943652292,52.501667778519014,223.63101169626742,8.338892595063376,8.338892595063376
0.06,5.05963368911598,13848.029108442139,53.00200133422282,191.8030187397691,10.00667111407605,10.00667111407605
0.07,7.849671581874832,13282.029095899576,53.502334889926615,187.27338200510368,11.674449633088726,11.674449633088726
0.08,10.110786157386597,14495.459253595724,54.00266844563042,196.1589271174933,13.3422281521014,13.3422281521014
0.09,5.498313177254612,13682.851175362268,54.503002001334224,193.38110147382233,15.010006671114075,15.010006671114075
0.1,7.694106451980885,13156.287642928995,55.00333555703803,188.20742871442806,16.67778519012675,16.67778519012675
0.11,7.379437523100967,12995.758597099404,55.503669112741825,266.2497606866309,18.345563709139427,18.345563709139427
0.12,7.773148777843464,14183.834487480739,56.00400266844563,241.60415974862175,20.0133422281521,20.0133422281521
0.13,6.834099265833735,13579.528586823062,56.504336224149434,184.17862552947008,21.681120747164776,21.681120747164776
0.14,8.579973782758696,14036.064356385212,57.00466977985324,194.95295116133684,23.34889926617745,23.34889926617745
0.15,7.808129700554476,13863.607752033227,57.505003335557035,184.64696348369114,25.016677785190126,25.016677785190126
0.16,8.23987573235954,14496.110007447247,58.00533689126084,211.27212097384927,26.6844563042028,26.6844563042028
0.17,6.895669926403758,13719.788231208102,58.50567044696464,230.2493164942689,28.352234823215476,28.352234823215476
0.18,5.361753754891666,13720.926411960285,59.00600400266845,191.44999713165706,30.02001334222815,30.02001334222815
